"hs2","description_ko","description_en","section"
"49","인쇄서적·신문·회화·그 밖의 인쇄물, 수제(手製)문서·타자문서·도면","Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans","X"
"50","견(絹)","Silk","XI"
"51","양모·동물의 부드러운 털이나 거친 털·말의 털로 만든 실과 직물","Wool, fine or coarse animal hair; horsehair yarn and woven fabric","XI"
"52","면","Cotton","XI"
"53","그 밖의 식물성 방직용 섬유, 종이실(paper yarn)과 종이실로 만든 직물","Other vegetable textile fibres; paper yarn and woven fabric of paper yarn","XI"
"54","인조필라멘트, 인조방직용 섬유재료의 스트립(strip)과 이와 유사한 것","Man-made filaments; strip and the like of man-made textile materials","XI"
"55","인조스테이플섬유","Man-made staple fibres","XI"
"56","워딩(wadding)·펠트(felt)·부직포, 특수사, 끈·배의 밧줄(cordage)·로프·케이블과 이들의 제품","Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof","XI"
"57","양탄자류와 그 밖의 방직용 섬유로 만든 바닥깔개","Carpets and other textile floor coverings","XI"
"58","특수직물, 터프트(tuft)한 직물, 레이스, 태피스트리(tapestry), 트리밍(trimming), 자수천","Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery","XI"
"59","침투·도포·피복하거나 적층한 방직용 섬유의 직물, 공업용인 방직용 섬유제품","Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use","XI"
"60","메리야스 편물과 뜨개질 편물","Knitted or crocheted fabrics","XI"
"61","의류와 그 부속품(메리야스 편물이나 뜨개질 편물로 한정한다)","Articles of apparel and clothing accessories, knitted or crocheted","XI"
"62","의류와 그 부속품(메리야스 편물이나 뜨개질편물은 제외한다)","Articles of apparel and clothing accessories, not knitted or crocheted","XI"
"63","제품으로 된 방직용 섬유의 그 밖의 물품, 세트, 사용하던 의류·방직용 섬유제품, 넝마","Other made up textile articles; sets; worn clothing and worn textile articles; rags","XI"
"64","신발류·각반과 이와 유사한 것, 이들의 부분품","Footwear, gaiters and the like; parts of such articles","XII"
"65","모자류와 그 부분품","Headgear and parts thereof","XII"
"66","산류(傘類)·지팡이·시트스틱(seat-stick)·채찍·승마 채찍과 이들의 부분품","Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof","XII"
"67","조제 깃털·솜털과 그 제품, 조화, 사람 머리카락으로 된 제품","Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair","XII"
"68","돌·플라스터(plaster)·시멘트·석면·운모나 이와 유사한 재료의 제품","Articles of stone, plaster, cement, asbestos, mica or similar materials","XIII"
"69","도자제품","Ceramic products","XIII"
"70","유리와 유리제품","Glass and glassware","XIII"
"71","천연진주·양식진주·귀석·반귀석·귀금속·귀금속을 입힌 금속과 이들의 제품, 모조 신변장식용품, 주화","Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles thereof; imitation jewellery; coin","XIV"
"72","철강","Iron and steel","XV"
"73","철강의 제품","Articles of iron or steel","XV"
"74","구리와 그 제품","Copper and articles thereof","XV"
